recurso,acao,ADMIN,GESTOR_CATALOGO,EDITOR,AUTOR,REVISOR_TECNICO,COMERCIAL,AUDITOR
settings,ler,sim,nao,nao,nao,nao,nao,sim
settings,editar,sim,nao,nao,nao,nao,nao,nao
users,ler,sim,nao,nao,nao,nao,nao,sim
users,criar_editar,sim,nao,nao,nao,nao,nao,nao
user_roles,atribuir,sim,nao,nao,nao,nao,nao,nao
product_categories,editar,sim,sim,nao,nao,nao,nao,nao
product_families,criar_editar,sim,sim,nao,nao,nao,nao,nao
products,criar_editar,sim,sim,nao,nao,nao,nao,nao
products,publicar,sim,sim,nao,nao,nao,nao,nao
products,despublicar,sim,sim,nao,nao,nao,nao,nao
product_codes,editar,sim,sim,nao,nao,nao,nao,nao
campos_admin_only,ler,sim,sim,nao,nao,nao,nao,mascarado
specification_definitions,criar_editar,sim,sim,nao,nao,nao,nao,nao
media_assets,upload,sim,sim,sim,proprio,nao,nao,nao
media_assets,aprovar_reprovar,sim,sim,nao,nao,nao,nao,nao
media_assets,excluir_fisico,sim,nao,nao,nao,nao,nao,nao
documents,gerenciar,sim,sim,sim,nao,nao,nao,nao
articles,criar,sim,nao,sim,sim,nao,nao,nao
articles,editar_qualquer,sim,nao,sim,nao,nao,nao,nao
articles,editar_proprio,sim,nao,sim,sim,nao,nao,nao
articles,revisar_tecnico,sim,nao,nao,nao,sim,nao,nao
articles,agendar_publicar,sim,nao,sim,nao,nao,nao,nao
articles,despublicar,sim,nao,sim,nao,nao,nao,nao
editorial_categories,editar,sim,nao,sim,nao,nao,nao,nao
page_content,editar,sim,nao,sim,nao,nao,nao,nao
quotations,ler,sim,nao,nao,nao,nao,sim,sim
quotations,ver_dados_pessoais,sim,nao,nao,nao,nao,sim,nao
quotations,atualizar_status,sim,nao,nao,nao,nao,sim,nao
quotations,exportar,sim,nao,nao,nao,nao,sim,nao
contacts,ler,sim,nao,nao,nao,nao,sim,sim
import_jobs,executar,sim,sim,nao,nao,nao,nao,nao
import_jobs,rollback,sim,sim,nao,nao,nao,nao,nao
redirects,gerenciar,sim,nao,sim,nao,nao,nao,sim
seo_metadata,editar,sim,sim,sim,nao,nao,nao,nao
audit_logs,ler,sim,nao,nao,nao,nao,nao,sim
outbox,reprocessar,sim,nao,nao,nao,nao,nao,nao
