sku_publico,nome_publico,familia_slug,categoria_slug,variacao,medida,capacidade,unidade,descricao_publica,sob_consulta,codigo_original,marca_interna,observacao_interna
AG001,Agulhas descartáveis 13 X 45,agulhas-descartaveis,vacinacao-e-aplicacao,13 X 45,13 X 45,,,,nao,AG001,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG002,Agulhas descartáveis 25 X 10,agulhas-descartaveis,vacinacao-e-aplicacao,25 X 10,25 X 10,,,,nao,AG002,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG003,Agulhas descartáveis 25 X 12,agulhas-descartaveis,vacinacao-e-aplicacao,25 X 12,25 X 12,,,,nao,AG003,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG004,Agulhas descartáveis 25 X 7,agulhas-descartaveis,vacinacao-e-aplicacao,25 X 7,25 X 7,,,,nao,AG004,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG005,Agulhas descartáveis 25 X 8,agulhas-descartaveis,vacinacao-e-aplicacao,25 X 8,25 X 8,,,,nao,AG005,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=CONFLITO; divergencia DIV-0101
AG006,Agulhas descartáveis 25 X 9,agulhas-descartaveis,vacinacao-e-aplicacao,25 X 9,25 X 9,,,,nao,AG006,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG007,Agulhas descartáveis 40 X 12,agulhas-descartaveis,vacinacao-e-aplicacao,40 X 12,40 X 12,,,,nao,AG007,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG008,Agulhas descartáveis 40 X 16,agulhas-descartaveis,vacinacao-e-aplicacao,40 X 16,40 X 16,,,,nao,AG008,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG009,Agulhas descartáveis 40 X 8,agulhas-descartaveis,vacinacao-e-aplicacao,40 X 8,40 X 8,,,,nao,AG009,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG010,Agulhas descartáveis 6 X 9,agulhas-descartaveis,vacinacao-e-aplicacao,6 X 9,6 X 9,,,,nao,AG010,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG011,Agulhas inox reutilizáveis 10 X 10,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,10 X 10,10 X 10,,,,nao,AG011,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG012,Agulhas inox reutilizáveis 10 X 12,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,10 X 12,10 X 12,,,,nao,AG012,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG013,Agulhas inox reutilizáveis 10 X 08,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,10 X 08,10 X 08,,,,nao,AG013,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG014,Agulhas inox reutilizáveis 07 X 10,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,07 X 10,07 X 10,,,,nao,AG014,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG015,Agulhas inox reutilizáveis 08 X 08,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,08 X 08,08 X 08,,,,nao,AG015,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG016,Agulhas inox reutilizáveis 06 X 10,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,06 X 10,06 X 10,,,,nao,AG016,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=CONFLITO; divergencia DIV-0102
AG017,Agulhas inox reutilizáveis 06 X 08,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,06 X 08,06 X 08,,,,nao,AG017,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG018,Agulhas inox reutilizáveis 12 X 12,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,12 X 12,12 X 12,,,,nao,AG018,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=UNICO
AG019,Agulhas inox reutilizáveis 12 X 10,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,12 X 10,12 X 10,,,,nao,AG019,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=CONFLITO; divergencia DIV-0103
AG022,Agulhas inox reutilizáveis 04 X 08,agulhas-inox-reutilizaveis,vacinacao-e-aplicacao,04 X 08,04 X 08,,,,nao,AG022,,origem matriz aprovada 63/70; status_dado=COMPLETO; status_codigo=CONFLITO; divergencia DIV-0104
