div_id,sku,fontes,valores,impacto,severidade,recomendacao,tipo
DIV-0101,AG005,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: 25 X 8/8 X25,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0102,AG016,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: 06 X 10/10 X 10,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0103,AG019,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: 12 X 10/12 X10 AGULHA APLICADOR,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0104,AG022,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: 04 X 08/04 X 08 PARA VACINA/10 X 08,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0105,BI002,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: BICO PULVERIZ VERDE LEQUE/VERDE LEQUE 80015 BD,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0106,BI003,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: BICO PULVERIZADOR/VERMELHO TX-VK6°,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0107,BI004,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: BICO PULVERIZADOR/LARANJA LEQUE 8001 BD,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0108,BI005,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: AMARELO LEQUE 8002 BD/BICO PULVERIZADOR,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0109,BI006,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: AZUL CONE CHEIO/BICO PULVERIZADOR AZUL/LARANJA RC 80°,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
DIV-0110,BI999,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,valores divergentes: BICO PULVERIZADOR/DIVERSOS - CONSULTAR,catalogo/CSV divergentes para a mesma medida,ALTO,registro em rascunho ate confirmacao do usuario,DECISAO_NECESSARIA
