family_id,nome_familia_provisorio,nome_familia_original,prefixos_associados,skus_associados,quantidade_de_skus,segmento_principal,segmentos_secundarios,categoria_aprovada,subcategoria_proposta,aplicacao_principal,aplicacoes_secundarias,solucao_relacionada,tipo_de_pagina,deve_aparecer_no_catalogo,deve_aparecer_na_home,possui_imagem_aprovada,usara_placeholder,filtros_possiveis,atributos_variaveis,fonte_principal,localizacao_da_evidencia,tipo_de_evidencia,nivel_de_confianca,status_da_classificacao,divergencias,dependencias,decisao_necessaria,observacoes
FAM-001,Agulhas descartáveis,AGULHA DESCARTAVEL - 100 UN,AG,AG001|AG002|AG003|AG004|AG005|AG006|AG007|AG008|AG009|AG010,10,Avicultura,,Vacinação e aplicação,Agulhas,vacinação,aplicação|biossegurança,Soluções para vacinação,PT-05 Familia de produto,SIM,SIM,NAO,SIM,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p2 pdf-complementar p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,DIV-0101,DEP-01,DECT-divergencia,
FAM-002,Agulhas inox reutilizáveis,AGULHA INOX,AG,AG011|AG012|AG013|AG014|AG015|AG016|AG017|AG018|AG019|AG022|AG023|AG024,12,Avicultura,,Vacinação e aplicação,Agulhas,vacinação,aplicação|reposição,Soluções para vacinação,PT-05 Familia de produto,SIM,SIM,NAO,SIM,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p2 csv|pdf-publicado p2 pdf-complementar p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,DIV-0102|DIV-0103|DIV-0104,DEP-01,DECT-divergencia,
FAM-003,Agulhas quadradas,AGULHA QUADRADA,AG,AG020|AG025|AG026,3,Avicultura,,Vacinação e aplicação,Agulhas,vacinação,aplicação,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,SIM,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF, csv|pdf-publicado p2|pdf-publicado p2 csv,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,
FAM-004,Agulhas para aplicador de vacina,AGULHA APLICADOR PARA VACINA,AG,AG021,1,Avicultura,,Vacinação e aplicação,Agulhas,vacinação,aplicação|reposição,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p2 pdf-complementar p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-005,Seringas automáticas de fluxo contínuo,SERINGA AVIZEE BOUBA AVIÁRIA|SERINGA AVIZEE FLUXO CONTÍNUO,AZ,AZ002|AZ003,2,Avicultura,,Vacinação e aplicação,Seringas automáticas,vacinação,aplicação,Soluções para vacinação,PT-05 Familia de produto,SIM,SIM,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-006,Seringas automáticas duplas,SERINGA DUPLA AVIZEE FLUXO CONTÍNUO,AZ,AZ001,1,Avicultura,,Vacinação e aplicação,Seringas automáticas,vacinação,aplicação,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-007,Vacinadoras com porta-frasco,VACINADORA AVIZEE COM PORTA FRASCO,AZ,AZ004,1,Avicultura,,Vacinação e aplicação,Vacinadoras,vacinação,aplicação,Soluções para vacinação,PT-05 Familia de produto,SIM,SIM,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-008,Kits de reparo para seringas automáticas,KIT DE REPARO SERINGA AVIZEE BOUBA AVIÁRIA|KIT REPARO DA SERINGA AVIZEE,AZ,AZ005|AZ006,2,Avicultura,,Vacinação e aplicação,Reparo de seringas,manutenção,vacinação|reposição,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-009,Seringas descartáveis,SERINGA,SE,SE001|SE002|SE003|SE004|SE005,5,Avicultura,,Vacinação e aplicação,Seringas descartáveis,aplicação,vacinação,Soluções para vacinação,PT-05 Familia de produto,SIM,SIM,NAO,SIM,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p5 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-010,Seringas automáticas de precisão (linha importada),"SERINGA SOCOREX 0,5 ML|SERINGA SOCOREX DUPLA|SERINGA SOCOREX ULTRA 0,5 ML",SR,SR003|SR005|SR006|SR012,4,Avicultura,,Vacinação e aplicação,Seringas automáticas,vacinação,aplicação,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p6 csv|pdf-publicado p6 pdf-complementar p10 csv,SOURCE_EXPLICIT,ALTA,BLOQUEADA,,DEP-01,DECT-marca,4 SKU(s) com marca de terceiro no nome original (R-05/D-035): renomear por funcao
FAM-011,Cilindros graduados para seringas automáticas,CILINDRO GRADUADO SOCOREX,SR,SR001|SR008|SR009,3,Avicultura,,Vacinação e aplicação,Componentes de seringa,vacinação,reposição|manutenção,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p5 pdf-complementar p10 csv,SOURCE_EXPLICIT,ALTA,BLOQUEADA,,DEP-01,DECT-marca,3 SKU(s) com marca de terceiro no nome original (R-05/D-035): renomear por funcao
FAM-012,Componentes e reposição para seringas automáticas,"BICO REPOSIÇÃO SOCOREX|CONEXÃO MANGUEIRA SOCOREX|KIT REPARO DA SERINGA SOCOREX 0,5 ML|MOLA DO EMBOLO SOCOREX 0,5 - 1 ML",SR,SR002|SR004|SR007|SR010|SR011|SR025|SR026|SR027|SR029,9,Avicultura,,Vacinação e aplicação,Componentes de seringa,reposição,manutenção|vacinação,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p6|pdf-publicado p6 csv|pdf-publicado p6 pdf-complementar p10 csv,SOURCE_EXPLICIT,MEDIA,BLOQUEADA,,DEP-01,DECT-marca,8 SKU(s) com marca de terceiro no nome original (R-05/D-035): renomear por funcao
FAM-013,Equipos para aplicação e infusão,EQUIPO MACROGOTAS INTRAVENOSO|EQUIPO VETERINÁRIO ENDOVENOSAS,VR,VR002|VR008,2,Avicultura,,Vacinação e aplicação,Equipos,aplicação,manejo,Soluções para vacinação,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p10 csv|pdf-publicado p9 csv,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,
FAM-014,Bicos pulverizadores,BICO PULVERIZADOR|BICO PULVERIZADOR BV LEQUE VAC SPRAY 65º,BI,BI001|BI002|BI003|BI004|BI005|BI006|BI007|BI999,8,Avicultura,,Pulverização e sistemas de fluido,Bicos,pulverização,vacinação|biossegurança,Soluções para pulverização,PT-05 Familia de produto,SIM,SIM,NAO,SIM,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF, csv|pdf-publicado p4 pdf-complementar p3 csv,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,DIV-0105|DIV-0106|DIV-0107|DIV-0108|DIV-0109|DIV-0110,DEP-01,DECT-divergencia,
FAM-015,Tubulações e mangueiras,TUBO SILICONE SPRAY|TUBULAÇÃO PU CRISTAL|TUBULAÇÃO SILICONE 8 MM,TB,TB001|TB003|TB004|TB005|TB007,5,Avicultura,,Pulverização e sistemas de fluido,Tubulações,circulação de fluidos,pulverização|manutenção,Soluções para pulverização,PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p7 pdf-complementar p9 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-016,Conexões em L,,CN,CN001|CN002|CN003|CN004|CN005|CN006|CN007|CN008|CN019,9,Avicultura,,Pulverização e sistemas de fluido,Conexões,circulação de fluidos,ar comprimido|manutenção,Soluções para pulverização,PT-05 Familia de produto,SIM,NAO,NAO,SIM,categoria|aplicacao|segmento|medida,medida,S-02/CSV|S-03/PDF, pdf-complementar p4,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,nenhuma fonte fornece nome de produto para os SKUs desta familia
FAM-017,Conexões retas e passa-muros,,CN,CN009|CN010|CN011|CN013|CN016|CN017|CN018|CN020|CN021,9,Avicultura,,Pulverização e sistemas de fluido,Conexões,circulação de fluidos,ar comprimido|manutenção,Soluções para pulverização,PT-05 Familia de produto,SIM,NAO,NAO,SIM,categoria|aplicacao|segmento|medida,medida,S-02/CSV|S-03/PDF, pdf-complementar p4| pdf-complementar p5,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,nenhuma fonte fornece nome de produto para os SKUs desta familia
FAM-018,Conexões em T,,CN,CN015,1,Avicultura,,Pulverização e sistemas de fluido,Conexões,circulação de fluidos,ar comprimido|manutenção,Soluções para pulverização,PT-05 Familia de produto,SIM,NAO,NAO,SIM,categoria|aplicacao|segmento|medida,medida,S-02/CSV|S-03/PDF, pdf-complementar p5,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,nenhuma fonte fornece nome de produto para os SKUs desta familia
FAM-019,Conexões não identificadas,,CN,CN012|CN014|CN026,3,Avicultura,,Pulverização e sistemas de fluido,Conexões,,,Soluções para pulverização,NAO_PUBLICAVEL_NA_V1,NAO,NAO,NAO,SIM,categoria|aplicacao|segmento,,S-02/CSV|S-03/PDF, pdf-complementar p5,UNCLASSIFIED,BAIXA,NÃO_CLASSIFICADA,,DEP-01,DECT-dados,nenhuma fonte fornece nome de produto para os SKUs desta familia
FAM-020,Sistemas de pulverização (carrinho e galpão),,BT,BT001|BT002,2,Avicultura,,Pulverização e sistemas de fluido,Sistemas de pulverização,pulverização,biossegurança|vacinação,Soluções para pulverização,PT-05 Familia de produto,SIM,NAO,NAO,SIM,categoria|aplicacao|segmento|medida,medida,S-02/CSV|S-03/PDF, pdf-complementar p3,INFERENCE_MEDIUM,BAIXA,PROPOSTA_PENDENTE_DE_APROVAÇÃO,,DEP-01,,nenhuma fonte fornece nome de produto para os SKUs desta familia
FAM-021,Bombas,,BO,BO001|BO002|BO003,3,Avicultura,,Pulverização e sistemas de fluido,Bombas,,,Soluções para pulverização,NAO_PUBLICAVEL_NA_V1,NAO,NAO,NAO,SIM,categoria|aplicacao|segmento,,S-02/CSV|S-03/PDF, pdf-complementar p9,UNCLASSIFIED,BAIXA,NÃO_CLASSIFICADA,,DEP-01,DECT-dados,nenhuma fonte fornece nome de produto para os SKUs desta familia
FAM-022,Balanças suspensas e dinamômetros para aves,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA|BALANÇA S DINAMÔMETRO AVES,BA,BA003|BA004|BA008,3,Avicultura,,"Pesagem, medição e controle",Balanças para aves,pesagem,manejo|monitoramento,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p3 csv|pdf-publicado p3 pdf-complementar p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-023,Balanças eletrônicas para aves,BALANCA ELETRONICA PARA AVES,BA,BA005|BA006|BA009|BA010|BA013,5,Avicultura,,"Pesagem, medição e controle",Balanças para aves,pesagem,manejo|monitoramento,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,SIM,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p3 csv|pdf-publicado p3 pdf-complementar p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-024,Balanças para ovos,BALANÇA ELETRÔNICA PARA OVOS|BALANÇA ELETRÔNICA PARA OVOS ALTA PRECISÃO|MINI BALANÇA ELETRONICA PARA OVOS,BA,BA007|BA011|BA014,3,Avicultura,,"Pesagem, medição e controle",Balanças para ovos,pesagem,incubação|inspeção,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF, csv|pdf-publicado p3 csv|pdf-publicado p3 pdf-complementar p2 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-025,Balanças de precisão de bolso,MINI BALANÇA DIGITAL DE BOLSO E ALTA PRECISÃO,BA,BA012,1,Avicultura,,"Pesagem, medição e controle",Balanças de precisão,pesagem,medição,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento|medida,medida|unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p3 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-026,Termômetros,TERMÔMETRO DIGITAL AMBIENTE|TERMÔMETRO DIGITAL PARA VACINA|TERMÔMETRO PARA AVES|TERMÔMETRO TIPO ESPETO PARA AVES,TE,TE001|TE002|TE003|TE004,4,Avicultura,,"Pesagem, medição e controle",Termômetros,controle de temperatura,medição|monitoramento|inspeção,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,SIM,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF, csv|pdf-publicado p7 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-027,Medidores e testes de qualidade da água,ESTOJO DE TESTES PH E CL|FITA TESTE CLORO - 100 UN|PHMETRO COM MEDIDOR DE TEMPERATURA,VR,VR003|VR004|VR011,3,Avicultura,,"Pesagem, medição e controle",Qualidade da água,qualidade da água,medição|hidratação|biossegurança,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF, csv|pdf-publicado p9 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
FAM-028,Testes de qualidade do ambiente,FITA TESTE DE AMÔNIA C/ 50 FITAS,VR,VR001,1,Avicultura,,"Pesagem, medição e controle",Qualidade do ambiente,qualidade do ambiente,medição|monitoramento,"Soluções para pesagem, medição e controle",PT-05 Familia de produto,SIM,NAO,NAO,PARCIAL,categoria|aplicacao|segmento,unidade_de_fornecimento,S-02/CSV|S-03/PDF,pdf-publicado p9 csv,SOURCE_EXPLICIT,ALTA,CONFIRMADA_POR_FONTE,,DEP-01,,
