family_id,nome_familia_provisorio,aplicacao,tipo,vocabulario_controlado,indexavel,tipo_de_evidencia,nivel_de_confianca,status
FAM-001,Agulhas descartáveis,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-001,Agulhas descartáveis,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-001,Agulhas descartáveis,biossegurança,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-002,Agulhas inox reutilizáveis,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-002,Agulhas inox reutilizáveis,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-002,Agulhas inox reutilizáveis,reposição,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-003,Agulhas quadradas,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-003,Agulhas quadradas,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-004,Agulhas para aplicador de vacina,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-004,Agulhas para aplicador de vacina,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-004,Agulhas para aplicador de vacina,reposição,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-005,Seringas automáticas de fluxo contínuo,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-005,Seringas automáticas de fluxo contínuo,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-006,Seringas automáticas duplas,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-006,Seringas automáticas duplas,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-007,Vacinadoras com porta-frasco,vacinação,PRINCIPAL,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-007,Vacinadoras com porta-frasco,aplicação,SECUNDARIA,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-008,Kits de reparo para seringas automáticas,manutenção,PRINCIPAL,SIM,NAO,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-008,Kits de reparo para seringas automáticas,vacinação,SECUNDARIA,SIM,SIM,SOURCE_EXPLICIT,ALTA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
