file_id,caminho,tipo,bytes,classificacao
FILE-0001,.editorconfig,-,220,ATIVO
FILE-0002,.htaccess,-,437,ATIVO
FILE-0003,.htaccess.phpupgrader.d7ce0a32,d7ce0a32,290,OBSOLETO
FILE-0004,.htaccess.phpupgrader.initial,initial,290,OBSOLETO
FILE-0005,assets/css/footer.css,css,857,ATIVO
FILE-0006,assets/css/responsive.css,css,1650,ATIVO
FILE-0007,assets/css/style.css,css,15925,ATIVO
FILE-0008,assets/data/produtos.csv,csv,6383,ATIVO
FILE-0009,assets/docs/catalogo.pdf,pdf,4553549,ATIVO
FILE-0010,assets/img/favicon.ico,ico,74566,ATIVO
FILE-0011,assets/img/hero-bg.png,png,1271114,ATIVO
FILE-0012,assets/img/logo.png,png,63862,POSSIVELMENTE_ATIVO
FILE-0013,assets/img/logo.webp,webp,9432,POSSIVELMENTE_ATIVO
FILE-0014,assets/img/logotipo.png,png,19370,POSSIVELMENTE_ATIVO
FILE-0015,assets/img/logotipoavizee.png,png,19874,POSSIVELMENTE_ATIVO
FILE-0016,assets/img/products/ag001.jpg,jpg,8284,ATIVO
FILE-0017,assets/img/products/ag011.jpg,jpg,8478,ATIVO
FILE-0018,assets/img/products/ag020.jpg,jpg,7170,ATIVO
FILE-0019,assets/img/products/ag021.jpg,jpg,3783,ATIVO
FILE-0020,assets/img/products/ar001.jpg,jpg,13219,ATIVO
FILE-0021,assets/img/products/ar002.jpg,jpg,24356,ATIVO
FILE-0022,assets/img/products/ar003.jpg,jpg,15902,ATIVO
FILE-0023,assets/img/products/ar004.jpg,jpg,18886,ATIVO
FILE-0024,assets/img/products/az001.jpg,jpg,15720,ATIVO
FILE-0025,assets/img/products/az002.jpg,jpg,17931,ATIVO
FILE-0026,assets/img/products/az003.jpg,jpg,21407,ATIVO
FILE-0027,assets/img/products/az004.jpg,jpg,16249,ATIVO
FILE-0028,assets/img/products/az005.jpg,jpg,4737,ATIVO
FILE-0029,assets/img/products/az006.jpg,jpg,7870,ATIVO
FILE-0030,assets/img/products/ba003.jpg,jpg,14407,ATIVO
FILE-0031,assets/img/products/ba005.jpg,jpg,11696,ATIVO
FILE-0032,assets/img/products/ba007.jpg,jpg,13730,ATIVO
FILE-0033,assets/img/products/ba008.jpg,jpg,9470,ATIVO
FILE-0034,assets/img/products/ba011.jpg,jpg,7765,ATIVO
FILE-0035,assets/img/products/ba012.jpg,jpg,6839,ATIVO
FILE-0036,assets/img/products/ba014.jpg,jpg,17972,ATIVO
FILE-0037,assets/img/products/bb001.jpg,jpg,20136,ATIVO
FILE-0038,assets/img/products/bb003.jpg,jpg,13906,ATIVO
FILE-0039,assets/img/products/bi001.jpg,jpg,11208,ATIVO
FILE-0040,assets/img/products/bi002.jpg,jpg,14098,ATIVO
FILE-0041,assets/img/products/bv001.jpg,jpg,5406,ATIVO
FILE-0042,assets/img/products/bv002.jpg,jpg,10133,ATIVO
FILE-0043,assets/img/products/bv003.jpg,jpg,13977,ATIVO
FILE-0044,assets/img/products/bv004.jpg,jpg,22784,ATIVO
FILE-0045,assets/img/products/bv005.jpg,jpg,13859,ATIVO
FILE-0046,assets/img/products/bv006.jpg,jpg,13858,ATIVO
FILE-0047,assets/img/products/bv007.jpg,jpg,14749,ATIVO
FILE-0048,assets/img/products/bv008.jpg,jpg,5607,ATIVO
FILE-0049,assets/img/products/bv009.jpg,jpg,14431,ATIVO
FILE-0050,assets/img/products/co001.jpg,jpg,15172,ATIVO
FILE-0051,assets/img/products/lm001.jpg,jpg,12156,ATIVO
FILE-0052,assets/img/products/lm002.jpg,jpg,10787,ATIVO
FILE-0053,assets/img/products/lm003.jpg,jpg,7749,ATIVO
FILE-0054,assets/img/products/se001.jpg,jpg,11418,ATIVO
FILE-0055,assets/img/products/sr001.jpg,jpg,9254,ATIVO
FILE-0056,assets/img/products/sr002.jpg,jpg,13462,ATIVO
FILE-0057,assets/img/products/sr003.jpg,jpg,23969,ATIVO
FILE-0058,assets/img/products/sr004.jpg,jpg,6334,ATIVO
FILE-0059,assets/img/products/sr005.jpg,jpg,17908,ATIVO
FILE-0060,assets/img/products/sr007.jpg,jpg,26157,ATIVO
FILE-0061,assets/img/products/sr010.jpg,jpg,11329,ATIVO
FILE-0062,assets/img/products/sr011.jpg,jpg,6851,ATIVO
FILE-0063,assets/img/products/sr012.jpg,jpg,13437,ATIVO
FILE-0064,assets/img/products/sr025.jpg,jpg,11750,ATIVO
FILE-0065,assets/img/products/sr026.jpg,jpg,11460,ATIVO
FILE-0066,assets/img/products/sr027.jpg,jpg,9207,ATIVO
FILE-0067,assets/img/products/sr029.jpg,jpg,23081,ATIVO
FILE-0068,assets/img/products/tb001.jpg,jpg,9447,ATIVO
FILE-0069,assets/img/products/tb003.jpg,jpg,51816,ATIVO
FILE-0070,assets/img/products/tb005.jpg,jpg,26260,ATIVO
FILE-0071,assets/img/products/te001.jpg,jpg,13108,ATIVO
FILE-0072,assets/img/products/te002.jpg,jpg,7135,ATIVO
FILE-0073,assets/img/products/te003.jpg,jpg,7231,ATIVO
FILE-0074,assets/img/products/te004.jpg,jpg,12076,ATIVO
FILE-0075,assets/img/products/vr001.jpg,jpg,15970,ATIVO
FILE-0076,assets/img/products/vr002.jpg,jpg,13061,ATIVO
FILE-0077,assets/img/products/vr003.jpg,jpg,22680,ATIVO
FILE-0078,assets/img/products/vr004.jpg,jpg,14992,ATIVO
FILE-0079,assets/img/products/vr005.jpg,jpg,14115,ATIVO
FILE-0080,assets/img/products/vr006.jpg,jpg,13591,ATIVO
FILE-0081,assets/img/products/vr007.jpg,jpg,6774,ATIVO
FILE-0082,assets/img/products/vr008.jpg,jpg,18514,ATIVO
FILE-0083,assets/img/products/vr009.jpg,jpg,15233,ATIVO
FILE-0084,assets/img/products/vr010.jpg,jpg,17789,ATIVO
FILE-0085,assets/img/products/vr011.jpg,jpg,4515,ATIVO
FILE-0086,assets/img/products/vr012.jpg,jpg,10531,ATIVO
FILE-0087,assets/img/products/vr013.jpg,jpg,7993,ATIVO
FILE-0088,assets/js/form.js,js,4161,ATIVO
FILE-0089,assets/js/include.js,js,364,ATIVO
FILE-0090,assets/js/main.js,js,1554,ATIVO
FILE-0091,assets/js/pdf-viewer.js,js,3828,ATIVO
FILE-0092,blog.php,php,3450,ATIVO
FILE-0093,composer.json,json,65,ATIVO
FILE-0094,composer.lock,lock,4124,ATIVO
FILE-0095,contato.php,php,9637,ATIVO
FILE-0096,includes/footer.php,php,3980,ATIVO
FILE-0097,includes/head-meta.php,php,1115,ATIVO
FILE-0098,includes/header.php,php,7252,ATIVO
FILE-0099,includes/produtos-data.php,php,1964,ATIVO
FILE-0100,index.php,php,11262,ATIVO
FILE-0101,produtos.php,php,15375,ATIVO
FILE-0102,send_email.php,php,4104,SENSIVEL
FILE-0103,sobre.php,php,6578,ATIVO
FILE-0104,vendor/autoload.php,php,748,DEPENDENCIA
FILE-0105,vendor/composer/ClassLoader.php,php,16378,DEPENDENCIA
FILE-0106,vendor/composer/InstalledVersions.php,php,17395,DEPENDENCIA
FILE-0107,vendor/composer/LICENSE,-,1070,DEPENDENCIA
FILE-0108,vendor/composer/autoload_classmap.php,php,222,DEPENDENCIA
FILE-0109,vendor/composer/autoload_namespaces.php,php,139,DEPENDENCIA
FILE-0110,vendor/composer/autoload_psr4.php,php,213,DEPENDENCIA
FILE-0111,vendor/composer/autoload_real.php,php,1137,DEPENDENCIA
FILE-0112,vendor/composer/autoload_static.php,php,1093,DEPENDENCIA
FILE-0113,vendor/composer/installed.json,json,3764,DEPENDENCIA
FILE-0114,vendor/composer/installed.php,php,1052,DEPENDENCIA
FILE-0115,vendor/composer/platform_check.php,php,925,DEPENDENCIA
FILE-0116,vendor/phpmailer/phpmailer/.editorconfig,-,220,DEPENDENCIA
FILE-0117,vendor/phpmailer/phpmailer/COMMITMENT,-,2092,DEPENDENCIA
FILE-0118,vendor/phpmailer/phpmailer/LICENSE,-,26529,DEPENDENCIA
FILE-0119,vendor/phpmailer/phpmailer/README.md,md,16662,DEPENDENCIA
FILE-0120,vendor/phpmailer/phpmailer/SECURITY.md,md,7585,DEPENDENCIA
FILE-0121,vendor/phpmailer/phpmailer/VERSION,-,6,DEPENDENCIA
FILE-0122,vendor/phpmailer/phpmailer/composer.json,json,2775,DEPENDENCIA
FILE-0123,vendor/phpmailer/phpmailer/get_oauth_token.php,php,6261,DEPENDENCIA
FILE-0124,vendor/phpmailer/phpmailer/language/phpmailer.lang-af.php,php,1584,DEPENDENCIA
FILE-0125,vendor/phpmailer/phpmailer/language/phpmailer.lang-ar.php,php,2024,DEPENDENCIA
FILE-0126,vendor/phpmailer/phpmailer/language/phpmailer.lang-as.php,php,3792,DEPENDENCIA
FILE-0127,vendor/phpmailer/phpmailer/language/phpmailer.lang-az.php,php,1749,DEPENDENCIA
FILE-0128,vendor/phpmailer/phpmailer/language/phpmailer.lang-ba.php,php,1745,DEPENDENCIA
FILE-0129,vendor/phpmailer/phpmailer/language/phpmailer.lang-be.php,php,2178,DEPENDENCIA
FILE-0130,vendor/phpmailer/phpmailer/language/phpmailer.lang-bg.php,php,2196,DEPENDENCIA
FILE-0131,vendor/phpmailer/phpmailer/language/phpmailer.lang-bn.php,php,3845,DEPENDENCIA
FILE-0132,vendor/phpmailer/phpmailer/language/phpmailer.lang-ca.php,php,1730,DEPENDENCIA
FILE-0133,vendor/phpmailer/phpmailer/language/phpmailer.lang-cs.php,php,1798,DEPENDENCIA
FILE-0134,vendor/phpmailer/phpmailer/language/phpmailer.lang-da.php,php,2409,DEPENDENCIA
FILE-0135,vendor/phpmailer/phpmailer/language/phpmailer.lang-de.php,php,1886,DEPENDENCIA
FILE-0136,vendor/phpmailer/phpmailer/language/phpmailer.lang-el.php,php,3307,DEPENDENCIA
FILE-0137,vendor/phpmailer/phpmailer/language/phpmailer.lang-eo.php,php,1665,DEPENDENCIA
FILE-0138,vendor/phpmailer/phpmailer/language/phpmailer.lang-es.php,php,2588,DEPENDENCIA
FILE-0139,vendor/phpmailer/phpmailer/language/phpmailer.lang-et.php,php,1744,DEPENDENCIA
FILE-0140,vendor/phpmailer/phpmailer/language/phpmailer.lang-fa.php,php,2079,DEPENDENCIA
FILE-0141,vendor/phpmailer/phpmailer/language/phpmailer.lang-fi.php,php,1659,DEPENDENCIA
FILE-0142,vendor/phpmailer/phpmailer/language/phpmailer.lang-fo.php,php,1637,DEPENDENCIA
FILE-0143,vendor/phpmailer/phpmailer/language/phpmailer.lang-fr.php,php,2732,DEPENDENCIA
FILE-0144,vendor/phpmailer/phpmailer/language/phpmailer.lang-gl.php,php,1742,DEPENDENCIA
FILE-0145,vendor/phpmailer/phpmailer/language/phpmailer.lang-he.php,php,1812,DEPENDENCIA
FILE-0146,vendor/phpmailer/phpmailer/language/phpmailer.lang-hi.php,php,3768,DEPENDENCIA
FILE-0147,vendor/phpmailer/phpmailer/language/phpmailer.lang-hr.php,php,1754,DEPENDENCIA
FILE-0148,vendor/phpmailer/phpmailer/language/phpmailer.lang-hu.php,php,1717,DEPENDENCIA
FILE-0149,vendor/phpmailer/phpmailer/language/phpmailer.lang-hy.php,php,2185,DEPENDENCIA
FILE-0150,vendor/phpmailer/phpmailer/language/phpmailer.lang-id.php,php,1997,DEPENDENCIA
FILE-0151,vendor/phpmailer/phpmailer/language/phpmailer.lang-it.php,php,1819,DEPENDENCIA
FILE-0152,vendor/phpmailer/phpmailer/language/phpmailer.lang-ja.php,php,2934,DEPENDENCIA
FILE-0153,vendor/phpmailer/phpmailer/language/phpmailer.lang-ka.php,php,2884,DEPENDENCIA
FILE-0154,vendor/phpmailer/phpmailer/language/phpmailer.lang-ko.php,php,1771,DEPENDENCIA
FILE-0155,vendor/phpmailer/phpmailer/language/phpmailer.lang-ku.php,php,2238,DEPENDENCIA
FILE-0156,vendor/phpmailer/phpmailer/language/phpmailer.lang-lt.php,php,1627,DEPENDENCIA
FILE-0157,vendor/phpmailer/phpmailer/language/phpmailer.lang-lv.php,php,1643,DEPENDENCIA
FILE-0158,vendor/phpmailer/phpmailer/language/phpmailer.lang-mg.php,php,1782,DEPENDENCIA
FILE-0159,vendor/phpmailer/phpmailer/language/phpmailer.lang-mn.php,php,2186,DEPENDENCIA
FILE-0160,vendor/phpmailer/phpmailer/language/phpmailer.lang-ms.php,php,1734,DEPENDENCIA
FILE-0161,vendor/phpmailer/phpmailer/language/phpmailer.lang-nb.php,php,2288,DEPENDENCIA
FILE-0162,vendor/phpmailer/phpmailer/language/phpmailer.lang-nl.php,php,2365,DEPENDENCIA
FILE-0163,vendor/phpmailer/phpmailer/language/phpmailer.lang-pl.php,php,2635,DEPENDENCIA
FILE-0164,vendor/phpmailer/phpmailer/language/phpmailer.lang-pt.php,php,1889,DEPENDENCIA
FILE-0165,vendor/phpmailer/phpmailer/language/phpmailer.lang-pt_br.php,php,2719,DEPENDENCIA
FILE-0166,vendor/phpmailer/phpmailer/language/phpmailer.lang-ro.php,php,2448,DEPENDENCIA
FILE-0167,vendor/phpmailer/phpmailer/language/phpmailer.lang-ru.php,php,3297,DEPENDENCIA
FILE-0168,vendor/phpmailer/phpmailer/src/DSNConfigurator.php,php,6883,DEPENDENCIA
FILE-0169,vendor/phpmailer/phpmailer/src/Exception.php,php,1256,DEPENDENCIA
FILE-0170,vendor/phpmailer/phpmailer/src/OAuth.php,php,3791,DEPENDENCIA
FILE-0171,vendor/phpmailer/phpmailer/src/OAuthTokenProvider.php,php,1538,DEPENDENCIA
FILE-0172,vendor/phpmailer/phpmailer/src/PHPMailer.php,php,182918,DEPENDENCIA
FILE-0173,vendor/phpmailer/phpmailer/src/POP3.php,php,12351,DEPENDENCIA
FILE-0174,vendor/phpmailer/phpmailer/src/SMTP.php,php,49148,DEPENDENCIA
