image_id,arquivo,pasta,formato,dimensoes,modo,bytes,codigo_associado,duplicidade,duplicatas,marca_visivel,status
IMG-0001,AR001.jpg,MercadoLivre/A,jpg,1000x1000,RGB,60640,AR001,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0002,AR002.jpg,MercadoLivre/A,jpg,1000x1000,RGB,162314,AR002,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0003,AR003.jpg,MercadoLivre/A,jpg,1000x1000,RGB,71020,AR003,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0004,AR004.jpg,MercadoLivre/A,jpg,1000x1000,RGB,82345,AR004,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0005,AZ001.jpg,MercadoLivre/A,jpg,1000x1000,RGB,123679,AZ001,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0006,AZ002.jpg,MercadoLivre/A,jpg,1000x1000,RGB,137666,AZ002,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0007,AZ003.jpg,MercadoLivre/A,jpg,1000x1000,RGB,122265,AZ003,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0008,AZ005.jpg,MercadoLivre/A,jpg,1000x1000,RGB,71787,AZ005,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0009,AZ006.jpg,MercadoLivre/A,jpg,1000x1000,RGB,48931,AZ006,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0010,AZ007.jpg,MercadoLivre/A,jpg,1000x1000,RGB,93027,AZ007,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0011,BA005.jpg,MercadoLivre/A,jpg,1000x1000,RGB,110576,BA005,SIM,"BA006.jpg,BA010.jpg,BA013.jpg",SIM,PENDENTE_MARCA_VISIVEL
IMG-0012,BA006.jpg,MercadoLivre/A,jpg,1000x1000,RGB,110576,BA006,SIM,"BA005.jpg,BA010.jpg,BA013.jpg",SIM,PENDENTE_MARCA_VISIVEL
IMG-0013,BA010.jpg,MercadoLivre/A,jpg,1000x1000,RGB,110576,BA010,SIM,"BA005.jpg,BA006.jpg,BA013.jpg",SIM,PENDENTE_MARCA_VISIVEL
IMG-0014,BA011.jpg,MercadoLivre/A,jpg,1000x1000,RGB,116510,BA011,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0015,BA013.jpg,MercadoLivre/A,jpg,1000x1000,RGB,110576,BA013,SIM,"BA005.jpg,BA006.jpg,BA010.jpg",SIM,PENDENTE_MARCA_VISIVEL
IMG-0016,BA014.jpg,MercadoLivre/A,jpg,1000x1000,RGB,105631,BA014,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0017,BV002.jpg,MercadoLivre/A,jpg,1000x1000,RGB,51695,BV002,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0018,BV005.jpg,MercadoLivre/A,jpg,1000x1000,RGB,75070,BV005,NAO,,SIM,PENDENTE_MARCA_VISIVEL
IMG-0019,BV006.jpg,MercadoLivre/A,jpg,1000x1000,RGB,89930,BV006,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0020,BV007.jpg,MercadoLivre/A,jpg,1000x1000,RGB,175246,BV007,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0021,LM002.jpg,MercadoLivre/A,jpg,1000x1000,RGB,87764,LM002,NAO,,SIM,PENDENTE_MARCA_VISIVEL
IMG-0022,SR001.jpg,MercadoLivre/A,jpg,1000x1000,RGB,67279,SR001,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0023,SR002.jpg,MercadoLivre/A,jpg,1000x1000,RGB,49923,SR002,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0024,SR003.jpg,MercadoLivre/A,jpg,1000x1000,RGB,94479,SR003,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0025,SR004.jpg,MercadoLivre/A,jpg,1000x1000,RGB,37176,SR004,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0026,SR005.jpg,MercadoLivre/A,jpg,1000x1000,RGB,83106,SR005,SIM,SR006.jpg,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0027,SR006.jpg,MercadoLivre/A,jpg,1000x1000,RGB,83106,SR006,SIM,SR005.jpg,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0028,SR008.jpg,MercadoLivre/A,jpg,1000x1000,RGB,31017,SR008,SIM,SR009.jpg,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0029,SR009.jpg,MercadoLivre/A,jpg,1000x1000,RGB,31017,SR009,SIM,SR008.jpg,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0030,SR010.jpg,MercadoLivre/A,jpg,1000x1000,RGB,43917,SR010,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0031,SR011.jpg,MercadoLivre/A,jpg,1000x1000,RGB,40463,SR011,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0032,SR012.jpg,MercadoLivre/A,jpg,1000x1000,RGB,87983,SR012,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0033,TB001.jpg,MercadoLivre/A,jpg,1000x1000,RGB,99811,TB001,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0034,TB003.jpg,MercadoLivre/A,jpg,1000x1000,RGB,157996,TB003,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0035,TB004.jpg,MercadoLivre/A,jpg,1000x1000,RGB,139319,TB004,SIM,TB005.jpg,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0036,TB005.jpg,MercadoLivre/A,jpg,1000x1000,RGB,139319,TB005,SIM,TB004.jpg,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0037,TE001.jpg,MercadoLivre/A,jpg,1000x1000,RGB,101179,TE001,NAO,,SIM,PENDENTE_MARCA_VISIVEL
IMG-0038,TE003.jpg,MercadoLivre/A,jpg,1000x1000,RGB,77163,TE003,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0039,TE004.jpg,MercadoLivre/A,jpg,1000x1000,RGB,60497,TE004,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0040,VR001.jpg,MercadoLivre/A,jpg,1000x1000,RGB,91770,VR001,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0041,VR002.jpg,MercadoLivre/A,jpg,1000x1000,RGB,82030,VR002,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0042,VR003.jpg,MercadoLivre/A,jpg,1000x1000,RGB,163036,VR003,NAO,,SIM,PENDENTE_MARCA_VISIVEL
IMG-0043,VR004.jpg,MercadoLivre/A,jpg,1000x1000,RGB,108428,VR004,NAO,,SIM,PENDENTE_MARCA_VISIVEL
IMG-0044,VR005.jpg,MercadoLivre/A,jpg,1000x1000,RGB,69102,VR005,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0045,VR006.jpg,MercadoLivre/A,jpg,1000x1000,RGB,115147,VR006,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0046,VR008.jpg,MercadoLivre/A,jpg,1000x1000,RGB,123811,VR008,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
IMG-0047,VR009.jpg,MercadoLivre/A,jpg,1000x1000,RGB,104637,VR009,NAO,,NAO_OBSERVADA,PENDENTE_DIREITO_DE_USO
