produto_audit_id,sku,familia_provisoria,image_id,tipo_de_relacao,status_imagem,uso_recomendado,pendencia,prioridade
PROD-0001,AG001,AG,IMG-0117,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0002,AG002,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0003,AG003,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0004,AG004,AG,IMG-0051,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0005,AG005,AG,IMG-0052,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0006,AG006,AG,IMG-0053,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0007,AG007,AG,IMG-0054,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0008,AG008,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0009,AG009,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0010,AG010,AG,IMG-0055,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0011,AG011,AG,IMG-0056,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0011,AG011,AG,IMG-0118,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0012,AG012,AG,IMG-0057,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0013,AG013,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0014,AG014,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0015,AG015,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0016,AG016,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0017,AG017,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0018,AG018,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0019,AG019,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0020,AG020,AG,IMG-0110,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0020,AG020,AG,IMG-0119,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0021,AG021,AG,IMG-0120,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0022,AG022,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0023,AG023,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0024,AG024,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0025,AG025,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0026,AG026,AG,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0027,AR001,AR,IMG-0001,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0027,AR001,AR,IMG-0058,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0027,AR001,AR,IMG-0121,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0028,AR002,AR,IMG-0002,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0028,AR002,AR,IMG-0059,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0028,AR002,AR,IMG-0122,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0029,AR003,AR,IMG-0003,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0029,AR003,AR,IMG-0060,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0029,AR003,AR,IMG-0123,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0030,AR004,AR,IMG-0004,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0030,AR004,AR,IMG-0061,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0030,AR004,AR,IMG-0124,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0031,AZ001,AZ,IMG-0005,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0031,AZ001,AZ,IMG-0125,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0032,AZ002,AZ,IMG-0006,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0032,AZ002,AZ,IMG-0126,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0033,AZ003,AZ,IMG-0007,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0033,AZ003,AZ,IMG-0127,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0034,AZ004,AZ,IMG-0128,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0035,AZ005,AZ,IMG-0008,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0035,AZ005,AZ,IMG-0129,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0036,AZ006,AZ,IMG-0009,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0036,AZ006,AZ,IMG-0130,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0037,BA003,BA,IMG-0062,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0037,BA003,BA,IMG-0131,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0038,BA004,BA,IMG-0063,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0039,BA005,BA,IMG-0011,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0039,BA005,BA,IMG-0132,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0040,BA006,BA,IMG-0012,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0040,BA006,BA,IMG-0064,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0041,BA007,BA,IMG-0133,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0042,BA008,BA,IMG-0134,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0043,BA009,BA,IMG-0065,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0044,BA010,BA,IMG-0013,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0044,BA010,BA,IMG-0066,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0045,BA011,BA,IMG-0014,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0045,BA011,BA,IMG-0135,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0046,BA012,BA,IMG-0136,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0047,BA013,BA,IMG-0015,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0048,BA014,BA,IMG-0016,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0048,BA014,BA,IMG-0067,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0048,BA014,BA,IMG-0137,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0049,BB001,BB,IMG-0068,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0049,BB001,BB,IMG-0138,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0050,BB002,BB,IMG-0069,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0051,BB003,BB,IMG-0070,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0051,BB003,BB,IMG-0139,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0052,BB004,BB,IMG-0071,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0053,BI001,BI,IMG-0140,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0054,BI002,BI,IMG-0141,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0055,BI003,BI,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0056,BI004,BI,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0057,BI005,BI,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0058,BI006,BI,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0059,BI007,BI,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0060,BI999,BI,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0061,BO001,BO,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0062,BO002,BO,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0063,BO003,BO,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0064,BT001,BT,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0065,BT002,BT,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0066,BV001,BV,IMG-0072,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0066,BV001,BV,IMG-0142,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0067,BV002,BV,IMG-0017,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0067,BV002,BV,IMG-0073,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0067,BV002,BV,IMG-0143,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0068,BV003,BV,IMG-0074,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0068,BV003,BV,IMG-0144,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0069,BV004,BV,IMG-0075,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0069,BV004,BV,IMG-0145,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0070,BV005,BV,IMG-0018,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0070,BV005,BV,IMG-0076,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0070,BV005,BV,IMG-0146,EXATA,PENDENTE_MARCA_VISIVEL,REVISAR,confirmar direito de uso,ALTA
PROD-0071,BV006,BV,IMG-0019,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0071,BV006,BV,IMG-0077,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0071,BV006,BV,IMG-0147,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0072,BV007,BV,IMG-0020,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0072,BV007,BV,IMG-0148,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0073,BV008,BV,IMG-0078,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0073,BV008,BV,IMG-0149,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0074,BV009,BV,IMG-0079,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0074,BV009,BV,IMG-0150,EXATA,PENDENTE_DIREITO_DE_USO,REVISAR,confirmar direito de uso,MEDIA
PROD-0075,CN001,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0076,CN002,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0077,CN003,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0078,CN004,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0079,CN005,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0080,CN006,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0081,CN007,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0082,CN008,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0083,CN009,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0084,CN010,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0085,CN011,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0086,CN012,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0087,CN013,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0088,CN014,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0089,CN015,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0090,CN016,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0091,CN017,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0092,CN018,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0093,CN019,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0094,CN020,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0095,CN021,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
PROD-0096,CN026,CN,,NAO_CONFIRMADA,SEM_IMAGEM,PLACEHOLDER,fotografia necessaria,ALTA
