audit_id,source_id,source_location,sku_original,nome_original,nome_publico_atual,campo_interno_marca,marca_publicamente_exposta,categoria_original,familia_provisoria,variacao,medida,capacidade,unidade,aplicacao_confirmada,segmento_confirmado,imagem_encontrada,imagem_id,dados_completos,duplicidade_suspeita,divergencia,nivel_confianca,publicar_no_futuro,requer_revisao,observacoes
PROD-0001,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG001,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,13 X 45,13 X 45,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0117,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0002,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG002,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,25 X 10,25 X 10,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0003,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG003,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,25 X 12,25 X 12,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0004,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG004,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,25 X 7,25 X 7,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0051,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0005,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG005,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,25 X 8,25 X 8,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0052,SIM,NAO,SIM,BAIXA,PENDENTE,SIM,valores divergentes: 25 X 8/8 X25
PROD-0006,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG006,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,25 X 9,25 X 9,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0053,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0007,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG007,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,40 X 12,40 X 12,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0054,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
PROD-0008,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG008,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,40 X 16,40 X 16,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0009,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG009,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,40 X 8,40 X 8,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,NAO,,SIM,NAO,NAO,ALTA,PENDENTE,NAO,
PROD-0010,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,pdf-publicado p2 pdf-complementar p2 csv,AG010,AGULHA DESCARTAVEL - 100 UN,AGULHA DESCARTAVEL - 100 UN,,NAO_OBSERVADA,AGULHA,AG,6 X 9,6 X 9,,CX,NAO_CONFIRMADA,NAO_CONFIRMADO,SIM,IMG-0055,SIM,NAO,NAO,ALTA,CANDIDATO,NAO,
