internal_id,sku_original,codigo_publico_proposto,nome_original,familia_proposta,family_id,categoria_herdada,aplicacao_principal_herdada,segmento_herdado,excecao_de_segmento,excecao_de_categoria,excecao_de_aplicacao,medida,capacidade,variacao,imagem,status_imagem,status_codigo,status_dado,publicavel,motivo_do_bloqueio,fonte,nivel_confianca,aprovacao_necessaria
PROD-0001,AG001,AG001,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,13 X 45,,13 X 45,IMG-0117,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0002,AG002,AG002,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,25 X 10,,25 X 10,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0003,AG003,AG003,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,25 X 12,,25 X 12,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0004,AG004,AG004,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,25 X 7,,25 X 7,IMG-0051,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0005,AG005,AG005,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,25 X 8,,25 X 8,IMG-0052,EM_QUARENTENA,CONFLITO,COMPLETO,NAO,divergencia DIV-0101,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0006,AG006,AG006,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,25 X 9,,25 X 9,IMG-0053,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0007,AG007,AG007,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,40 X 12,,40 X 12,IMG-0054,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0008,AG008,AG008,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,40 X 16,,40 X 16,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0009,AG009,AG009,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,40 X 8,,40 X 8,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0010,AG010,AG010,AGULHA DESCARTAVEL - 100 UN,Agulhas descartáveis,FAM-001,Vacinação e aplicação,vacinação,Avicultura,,,,6 X 9,,6 X 9,IMG-0055,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0011,AG011,AG011,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,10 X 10,,10 X 10,"IMG-0056,IMG-0118",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0012,AG012,AG012,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,10 X 12,,10 X 12,IMG-0057,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0013,AG013,AG013,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,10 X 08,,10 X 08,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0014,AG014,AG014,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,07 X 10,,07 X 10,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0015,AG015,AG015,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,08 X 08,,08 X 08,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0016,AG016,AG016,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,06 X 10,,06 X 10,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0102,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0017,AG017,AG017,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,06 X 08,,06 X 08,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0018,AG018,AG018,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,12 X 12,,12 X 12,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0019,AG019,AG019,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,12 X 10,,12 X 10,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0103,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0022,AG022,AG022,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,04 X 08,,04 X 08,,AUSENTE_USA_PLACEHOLDER,CONFLITO,COMPLETO,NAO,divergencia DIV-0104,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,BAIXA,SIM
PROD-0023,AG023,AG023,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,08 X 10,,08 X 10,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0024,AG024,AG024,AGULHA INOX,Agulhas inox reutilizáveis,FAM-002,Vacinação e aplicação,vacinação,Avicultura,,,,12 X 8,,12 X 8,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0020,AG020,AG020,AGULHA QUADRADA,Agulhas quadradas,FAM-003,Vacinação e aplicação,vacinação,Avicultura,,,,10 X 10,,10 X 10,"IMG-0110,IMG-0119",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0025,AG025,AG025,AGULHA QUADRADA,Agulhas quadradas,FAM-003,Vacinação e aplicação,vacinação,Avicultura,,,,10 X 08,,10 X 08,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0026,AG026,AG026,,Agulhas quadradas,FAM-003,Vacinação e aplicação,vacinação,Avicultura,,,,10X08,,10X08,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-publicado,MEDIA,SIM
PROD-0021,AG021,AG021,AGULHA APLICADOR PARA VACINA,Agulhas para aplicador de vacina,FAM-004,Vacinação e aplicação,vacinação,Avicultura,,,,,,,IMG-0120,EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0032,AZ002,AZ002,SERINGA AVIZEE FLUXO CONTÍNUO,Seringas automáticas de fluxo contínuo,FAM-005,Vacinação e aplicação,vacinação,Avicultura,,,,,,,"IMG-0006,IMG-0126",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0033,AZ003,AZ003,SERINGA AVIZEE BOUBA AVIÁRIA,Seringas automáticas de fluxo contínuo,FAM-005,Vacinação e aplicação,vacinação,Avicultura,,,,,,,"IMG-0007,IMG-0127",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0031,AZ001,AZ001,SERINGA DUPLA AVIZEE FLUXO CONTÍNUO,Seringas automáticas duplas,FAM-006,Vacinação e aplicação,vacinação,Avicultura,,,,,,,"IMG-0005,IMG-0125",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0034,AZ004,AZ004,VACINADORA AVIZEE COM PORTA FRASCO,Vacinadoras com porta-frasco,FAM-007,Vacinação e aplicação,vacinação,Avicultura,,,,,,,IMG-0128,EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0035,AZ005,AZ005,KIT REPARO DA SERINGA AVIZEE,Kits de reparo para seringas automáticas,FAM-008,Vacinação e aplicação,manutenção,Avicultura,,,,,,,"IMG-0008,IMG-0129",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0036,AZ006,AZ006,KIT DE REPARO SERINGA AVIZEE BOUBA AVIÁRIA,Kits de reparo para seringas automáticas,FAM-008,Vacinação e aplicação,manutenção,Avicultura,,,,,,,"IMG-0009,IMG-0130",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0132,SE001,SE001,SERINGA,Seringas descartáveis,FAM-009,Vacinação e aplicação,aplicação,Avicultura,,,,5 ML COM AGULHA,,5 ML COM AGULHA,"IMG-0086,IMG-0155",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0133,SE002,SE002,SERINGA,Seringas descartáveis,FAM-009,Vacinação e aplicação,aplicação,Avicultura,,,,5 ML SEM AGULHA,,5 ML SEM AGULHA,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0134,SE003,SE003,SERINGA,Seringas descartáveis,FAM-009,Vacinação e aplicação,aplicação,Avicultura,,,,20 ML SEM AGULHA,,20 ML SEM AGULHA,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
