conflict_id,alvo,tipo_de_alvo,family_id,tipo_de_conflito,descricao,impacto,bloqueia_familia,severidade,resolucao_proposta,status,decisao_necessaria
TXC-001,AG005,SKU,FAM-001,DIVERGENCIA_DE_FONTE,divergencia DIV-0101,bloqueia apenas este registro (D-036),NAO,ALTO,confirmar medida/nome na fonte,ABERTO,SIM
TXC-002,AG016,SKU,FAM-002,DIVERGENCIA_DE_FONTE,divergencia DIV-0102,bloqueia apenas este registro (D-036),NAO,ALTO,confirmar medida/nome na fonte,ABERTO,SIM
TXC-003,AG019,SKU,FAM-002,DIVERGENCIA_DE_FONTE,divergencia DIV-0103,bloqueia apenas este registro (D-036),NAO,ALTO,confirmar medida/nome na fonte,ABERTO,SIM
TXC-004,AG022,SKU,FAM-002,DIVERGENCIA_DE_FONTE,divergencia DIV-0104,bloqueia apenas este registro (D-036),NAO,ALTO,confirmar medida/nome na fonte,ABERTO,SIM
TXC-005,AG026,SKU,FAM-003,DADO_AUSENTE,sem nome em qualquer fonte,bloqueia apenas este registro (D-036),NAO,MEDIO,obter nome e funcao junto a AviZee,ABERTO,SIM
TXC-006,SR003,SKU,FAM-010,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-007,SR005,SKU,FAM-010,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-008,SR006,SKU,FAM-010,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-009,SR012,SKU,FAM-010,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-010,SR001,SKU,FAM-011,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-011,SR008,SKU,FAM-011,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-012,SR009,SKU,FAM-011,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-013,SR002,SKU,FAM-012,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
TXC-014,SR004,SKU,FAM-012,MARCA_DE_TERCEIRO,marca de terceiro no nome (R-05),bloqueia apenas este registro (D-036),NAO,ALTO,"renomear por funcao, marca so em campo interno (D-035)",ABERTO,SIM
