papel,responsavel,designado,aprovacao_go,observacao
responsavel executivo,a definir,nao,nao,exigido pelo §6 da Etapa 12
responsavel tecnico,a definir,nao,nao,
responsavel pelo banco,a definir,nao,nao,
responsavel pelo DNS,a definir,nao,nao,acesso ao provedor nao fornecido
responsavel pelo dominio,a definir,nao,nao,dominio produtivo nao informado
responsavel comercial,a definir,nao,nao,
responsavel editorial,a definir,nao,nao,
responsavel juridico,a definir,nao,nao,Q-13 aberta
responsavel de seguranca,a definir,nao,nao,O-27 aberto
autoridade de rollback,a definir,nao,nao,
